Genome	ERR525793_1.fastq.gz Mean
GCF_900636965.1_genomic	0.66996294
GCA_018365265.1_genomic	0.5857516
GCA_019412865.1_genomic	0.02234899
GCF_000722765.2_genomic	3.2413878
GCF_000262545.1_genomic	0.64956075
GCF_902810435.1_genomic	12.716572
GCF_013304445.1_genomic	0.37801263
GCF_000205025.1_genomic	0.048843294
GCF_000184945.1_genomic	0.6550632
GCF_003697165.2_genomic	127.605934
GCF_000307225.1_genomic	0.14192046
GCF_001027105.1_genomic	0.79276
GCA_900541485.1_genomic	0.11074708
GCF_000381525.1_genomic	0.039991703
GCF_000196555.1_genomic	538.6579
GCF_008121495.1_genomic	0.3002844
GCF_000187585.1_genomic	4.189968
GCF_000392875.1_genomic	0.30941632
GCF_006742205.1_genomic	0.055356547
GCF_900637515.1_genomic	2.483254
GCF_000785515.1_genomic	1.3004035
GCF_023347255.1_genomic	0.16084194
GCF_001679045.1_genomic	0.87683064
GCF_009496155.1_genomic	2.975608
GCF_001314995.1_genomic	0.04127843
GCF_000188295.1_genomic	0.55508304
GCA_025147485.1_genomic	0.0909973
GCA_900552195.1_genomic	0.083532296
GCF_000175615.1_genomic	0.9979586
GCF_001025135.1_genomic	240.79929
GCF_900475675.1_genomic	164.96904
GCF_009738225.1_genomic	1.2506372
GCF_012317185.1_genomic	0.38976142
GCF_000012825.1_genomic	0.08616321
